GEO_FIPS,Geo_QName,SE_A00001_001,SE_A00002_001,SE_A00002_002,SE_A00002_003,SE_A10008_001,SE_A10008_002,SE_A10008_003,SE_A10008_004,SE_A10008_005,SE_A10008_006,SE_A10008_007,SE_A10008_008,SE_A10008_009,SE_A10024_001,SE_A10024_002,SE_A10024_003,SE_A10024_004,SE_A10024_005,SE_A10024_006,SE_A10024_007,SE_A10024_008,SE_A14006_001,SE_A14007_001,SE_A14007_002,SE_A14007_003,SE_A14007_004,SE_A14007_005,SE_A14007_006,SE_A14007_007,SE_A14007_008,SE_A14007_009,SE_A14007_010,SE_A10044_001,SE_A10044_002,SE_A10044_003,SE_A18002_001,SE_A18002_002,SE_A18002_003,SE_A18002_004,SE_A18002_005,SE_A18002_006,SE_B18002_001,SE_B18002_002,SE_B18002_003,SE_A13004_001,SE_A13004_002,SE_A13004_003,SE_A13004_004,SE_A13004_005,SE_A13004_006,SE_A13004_007,SE_A13001A_001,SE_A13001A_002,SE_A13001A_003,SE_A13001B_001,SE_A13001B_002,SE_A13001B_003,SE_A13001C_001,SE_A13001C_002,SE_A13001C_003,SE_A13001D_001,SE_A13001D_002,SE_A13001D_003,SE_A13001E_001,SE_A13001E_002,SE_A13001E_003,SE_A13001F_001,SE_A13001F_002,SE_A13001F_003,SE_A13001G_001,SE_A13001G_002,SE_A13001G_003,SE_A13001H_001,SE_A13001H_002,SE_A13001H_003,SE_A13001I_001,SE_A13001I_002,SE_A13001I_003,SE_A10062B_001
39061011100,Census Tract 111,3808,3808,5290.079,0.7198380842,1398,940,755,185,26,159,458,97,361,1398,387,401,239,157,170,44,0,66739,66739,74375,52798,,,,,71250,,74375,1498,1398,100,189,0,53,37,89,10,189,37,89,3795,105,147,316,101,219,2907,1707,308,1399,1890,260,1630,0,0,0,44,0,44,0,0,0,16,0,16,138,0,138,24,0,24,1707,308,1399,417
39061020401,Census Tract 204.01,5086,5086,1533.5,3.3165949031,1866,1357,982,375,94,281,509,265,244,1866,396,665,263,282,170,75,15,67670,67670,67713,,,,,,,72750,67475,2150,1866,284,639,15,325,141,111,47,639,141,111,5086,239,236,154,345,522,3590,4782,582,4200,48,0,48,26,5,21,17,0,17,0,0,0,3,3,0,210,39,171,111,3,108,4674,582,4092,1629
39061020403,Census Tract 204.03,5796,5796,381.2189,15.2038619484,2209,1706,1291,415,90,325,503,376,127,2209,351,965,409,261,188,10,25,95547,95547,109625,,,,,,,,109625,2398,2209,189,126,0,0,53,35,38,126,53,35,5796,94,0,144,59,432,5067,5582,229,5353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,9,205,87,13,74,5495,216,5279,327
39061020404,Census Tract 204.04,5160,5160,1238.641,4.1658559808,1973,1548,1390,158,36,122,425,187,238,1973,412,759,337,311,106,32,16,102661,102661,102155,,,,,,,,102537,2008,1973,35,102,0,89,0,0,13,102,0,0,5061,127,8,26,118,194,4588,4959,161,4798,30,0,30,0,0,0,0,0,0,0,0,0,0,0,0,72,0,72,66,0,66,4907,161,4746,238
39061020501,Census Tract 205.01,2800,2800,313.2174,8.9394777119,1084,841,679,162,79,83,243,127,116,1084,208,403,267,117,53,36,0,82679,82679,91042,,,,,,,,91042,1174,1084,90,106,0,45,32,5,24,106,32,5,2715,124,0,5,34,181,2371,2458,74,2384,154,55,99,4,0,4,11,0,11,0,0,0,0,0,0,88,0,88,0,0,0,2458,74,2384,226
39061020502,Census Tract 205.02,4822,4822,401.3969,12.0130471647,2016,1518,1238,280,111,169,498,244,254,2016,464,881,402,153,60,44,12,86875,86875,85938,93787,,,,,,,86406,2027,2016,11,109,0,58,25,11,15,109,25,11,4822,227,11,63,96,249,4176,4535,287,4248,122,0,122,0,0,0,28,0,28,0,0,0,16,0,16,121,14,107,52,0,52,4489,287,4202,426
39061020504,Census Tract 205.04,3490,3490,565.7973,6.168286494,1243,1043,832,211,37,174,200,106,94,1243,161,578,146,228,82,6,42,94736,94736,92234,121154,,93209,,,,,92473,1298,1243,55,76,0,61,6,0,9,76,6,0,3478,5,0,0,51,209,3213,2426,5,2421,594,0,594,0,0,0,320,0,320,0,0,0,0,0,0,138,0,138,9,0,9,2417,5,2412,261
39061020505,Census Tract 205.05,4484,4484,3539.032,1.2670132062,1711,1334,830,504,100,404,377,191,186,1711,290,679,476,169,64,22,11,62976,62976,63982,46290,,,,,,,64303,1814,1711,103,504,0,318,29,110,47,504,29,110,4340,264,19,131,365,502,3059,2747,190,2557,1302,202,1100,0,0,0,101,22,79,0,0,0,72,0,72,118,0,118,81,0,81,2707,190,2517,1363
39061020601,Census Tract 206.01,6287,6287,1354.693,4.6409041277,2491,1749,1352,397,136,261,742,376,366,2491,584,1007,324,351,139,61,25,89236,89236,92321,,,,,,,,86681,2560,2491,69,501,20,286,86,109,0,501,86,109,6287,238,118,69,191,235,5436,6013,386,5627,165,39,126,0,0,0,44,0,44,0,0,0,24,0,24,41,0,41,122,0,122,5891,386,5505,1195
39061020602,Census Tract 206.02,7495,7495,1987.581,3.7709163131,3251,1927,1554,373,147,226,1324,519,805,3251,1056,1139,374,462,161,49,10,66931,66931,66325,68622,,,,,,,66325,3591,3251,340,608,47,362,108,76,15,608,108,76,7495,203,55,69,170,724,6274,6930,327,6603,377,0,377,0,0,0,121,0,121,0,0,0,36,0,36,31,0,31,53,0,53,6913,327,6586,1124
